id,game_id,year,month,day,home_team,away_team,home_score,away_score,tier
437,0021700021,2017,10,20,MIL,CLE,97,116,0
438,0021701216,2018,4,10,DAL,PHX,97,124,0
439,0021701198,2018,4,8,PHI,DAL,109,97,0
440,0021701181,2018,4,6,DET,DAL,113,106,0
441,0021701170,2018,4,4,ORL,DAL,105,100,0
442,0021701164,2018,4,3,DAL,POR,115,109,0
443,0021701134,2018,3,30,DAL,MIN,92,93,0
444,0021701123,2018,3,28,LAL,DAL,103,93,0
445,0021701113,2018,3,27,SAC,DAL,97,103,0
446,0021701076,2018,3,22,DAL,UTA,112,119,0
447,0021701061,2018,3,20,NOP,DAL,115,105,0
448,0021701031,2018,3,16,TOR,DAL,122,115,0
449,0021701009,2018,3,13,NYK,DAL,97,110,0
450,0021700997,2018,3,11,DAL,HOU,82,105,0
451,0021700989,2018,3,10,DAL,MEM,114,80,0
452,0021700961,2018,3,6,DAL,DEN,118,107,0
453,0021700946,2018,3,4,DAL,NOP,109,126,0
454,0021700919,2018,2,28,DAL,OKC,110,111,0
455,0021700904,2018,2,26,DAL,IND,109,103,0
456,0021700890,2018,2,24,UTA,DAL,97,90,0
457,0021700883,2018,2,23,LAL,DAL,124,102,0
458,0021700851,2018,2,13,DAL,SAC,109,114,0
459,0021700837,2018,2,11,HOU,DAL,104,97,0
460,0021700830,2018,2,10,DAL,LAL,130,123,0
461,0021700815,2018,2,8,GSW,DAL,121,103,0
462,0021700796,2018,2,5,LAC,DAL,104,101,0
463,0021700783,2018,2,3,SAC,DAL,99,106,0
464,0021700760,2018,1,31,PHX,DAL,102,88,0
465,0021700742,2018,1,29,DAL,MIA,88,95,0
466,0021700730,2018,1,27,DEN,DAL,91,89,0
467,0021700721,2018,1,26,DAL,POR,93,107,0
468,0021700706,2018,1,24,DAL,HOU,97,104,0
469,0021700693,2018,1,22,DAL,WAS,98,75,0
470,0021700682,2018,1,20,POR,DAL,117,108,0
471,0021700651,2018,1,16,DEN,DAL,105,102,0
472,0021700627,2018,1,13,DAL,LAL,101,107,0
473,0021700601,2018,1,9,DAL,ORL,114,99,0
474,0021700587,2018,1,7,DAL,NYK,96,100,0
475,0021700562,2018,1,3,DAL,GSW,122,125,0
476,0021700541,2017,12,31,OKC,DAL,113,116,0
477,0021700525,2017,12,29,NOP,DAL,120,128,0
478,0021700507,2017,12,27,IND,DAL,94,98,0
479,0021700499,2017,12,26,DAL,TOR,98,93,0
480,0021700474,2017,12,22,MIA,DAL,113,101,0
481,0021700461,2017,12,20,DAL,DET,110,93,0
482,0021700448,2017,12,18,DAL,PHX,91,97,0
483,0021700435,2017,12,16,SAS,DAL,98,96,0
484,0021700417,2017,12,14,GSW,DAL,112,97,0
485,0021700402,2017,12,12,DAL,SAS,95,89,0
486,0021700388,2017,12,10,MIN,DAL,97,92,0
487,0021700372,2017,12,8,MIL,DAL,109,102,0
488,0021700347,2017,12,4,DAL,DEN,122,105,0
489,0021700327,2017,12,2,DAL,LAC,108,82,0
490,0021700295,2017,11,27,SAS,DAL,115,108,0
491,0021700283,2017,11,25,DAL,OKC,97,81,0
492,0021700260,2017,11,22,MEM,DAL,94,95,0
493,0021700233,2017,11,18,DAL,MIL,111,79,0
494,0021700224,2017,11,17,DAL,MIN,87,111,0
495,0021700203,2017,11,14,DAL,SAS,91,97,0
